iter	RMSE
0	44743816.43
1	40045088.97
2	36460101.52
3	33686365.58
4	31466244.59
5	29775876.32
6	28306662.85
7	27149630.05
8	26265159.2
9	25424182.15
10	24707950.02
11	24075001.8
12	23599359.58
13	23189906.19
14	22698622.22
15	22412789.17
16	22023188.33
17	21801196.15
18	21413893.53
19	21136323.42
20	20882059.29
21	20705307.91
22	20534110.84
23	20312890.89
24	20134949.26
25	19881527
26	19630859.39
27	19462561.96
28	19369092.24
29	19222669.95
30	19127235.05
31	18996196.4
32	18836018.88
33	18754053.98
34	18588368.05
35	18510705.32
36	18445564.88
37	18361787.7
38	18106642.21
39	18016076.76
40	17950888.76
41	17795116.35
42	17682499.74
43	17605634.46
44	17491311.62
45	17365603.08
46	17281522.82
47	17152425.31
48	17002870.32
49	16866636.56
50	16736891.38
51	16600766.81
52	16409129.33
53	16314001
54	16198748.27
55	16121764.16
56	15963015.1
57	15837197.91
58	15739947.94
59	15660171.55
60	15558444.06
61	15509267.58
62	15379746.08
63	15262893.11
64	15202158.95
65	15138076.63
66	15020748.66
67	14962621.43
68	14886315.96
69	14829399.02
70	14729523.31
71	14580293.79
72	14530602.17
73	14471215.52
74	14414391.49
75	14365774.35
76	14313793.96
77	14202506.55
78	14144266.84
79	14085209.34
80	14033443.4
81	13981219.45
82	13901976.49
83	13822751.56
84	13755257.36
85	13695950.83
86	13652889.05
87	13572371.4
88	13501271.9
89	13473110.61
90	13449059.89
91	13389965.96
92	13358737.17
93	13313439.82
94	13230098.46
95	13193090.42
96	13147641.18
97	13116781.35
98	13052191.92
99	12981424.11
100	12956286.86
101	12923392.16
102	12879049.38
103	12845177.49
104	12803738.22
105	12740286.32
106	12716422.74
107	12690184.7
108	12673480.38
109	12637236.27
110	12581671.67
111	12551884.76
112	12520077.99
113	12430298.81
114	12402590.72
115	12370672.47
116	12351161.25
117	12300630.24
118	12235188.61
119	12183622.12
120	12174490.81
121	12139371.69
122	12086049.67
123	12059548.99
124	12027583.62
125	11991456.53
126	11933380.19
127	11921529.05
128	11891277.39
129	11862734.21
130	11824165.59
131	11774724.8
132	11747076.84
133	11717742.56
134	11650962.68
135	11634104.43
136	11595992.14
137	11587083.49
138	11552266.52
139	11538802.35
140	11502035.26
141	11464780.91
142	11439805.73
143	11414237.82
144	11385642.19
145	11377983.23
146	11357910.22
147	11336079.05
148	11294641.05
149	11263187.71
150	11253711.49
151	11227086
152	11204533.75
153	11182234.61
154	11168697.09
155	11151015.7
156	11113822.43
157	11063971.45
158	11033160.98
159	11013054.95
160	10988653.44
161	10970921.68
162	10965804.05
163	10944475.71
164	10924055.26
165	10902561.7
166	10862370.81
167	10841676.91
168	10819354.47
169	10797096.86
170	10777026.57
171	10744606.02
172	10718541.93
173	10708477.33
174	10685917.27
175	10674531.22
176	10650185.36
177	10620965.42
178	10608786.53
179	10593417.04
180	10583875.35
181	10551962.9
182	10543109.78
183	10512559.87
184	10491221.25
185	10476734.73
186	10460136
187	10446954.28
188	10419211.52
189	10393351.3
190	10372514.11
191	10363139.38
192	10359142.67
193	10344139.23
194	10332814.82
195	10309763.01
196	10280137.08
197	10266568.95
198	10254375.75
199	10247228.6
200	10228907.98
201	10202210.39
202	10193952.45
203	10179582.26
204	10176494.56
205	10135418.82
206	10120285.22
207	10111292.56
208	10092886.99
209	10081221.91
210	10060157.39
211	10031231.55
212	9994887.864
213	9981288.407
214	9956961.148
215	9940577.054
216	9913594.306
217	9900913.393
218	9887194.029
219	9878490.7
220	9864574.367
221	9837563.28
222	9826117.2
223	9818316.298
224	9811229.514
225	9794478.698
226	9780346.601
227	9768674.759
228	9754308.025
229	9739132.134
230	9713404.121
231	9705818.013
232	9688754.668
233	9678862.487
234	9674899.838
235	9660138.597
236	9651939.341
237	9635972.596
238	9634785.075
239	9609555.086
240	9603694.192
241	9584830.407
242	9563844.326
243	9551773.819
244	9548118.751
245	9542764.172
246	9512441.034
247	9495886.812
248	9494190.098
249	9481854.327
250	9468173.599
251	9458929.084
252	9453995.587
253	9438813.223
254	9422915.685
255	9399240.036
256	9382842.116
257	9373828.175
258	9362392.057
259	9345477.261
260	9334085.383
261	9320097.219
262	9309972.288
263	9291364.614
264	9273500.958
265	9257574.633
266	9243807.169
267	9218164.49
268	9209818.023
269	9192798.932
270	9175149.028
271	9164107.706
272	9158193.385
273	9139689.362
274	9123920.19
275	9106541.656
276	9098427.772
277	9085933.541
278	9069744.008
279	9060532.146
280	9053376.72
281	9038804.553
282	9028862.351
283	9010792.904
284	9006698.455
285	8989161.647
286	8978287.38
287	8963659.417
288	8957316.972
289	8945197.741
290	8935806.445
291	8917810.525
292	8907633.647
293	8900376.464
294	8890724.628
295	8877554.466
296	8867171.358
297	8857925.293
298	8846118.967
299	8834051.477
300	8828679.619
301	8819185.573
302	8804208.893
303	8799399.498
304	8787499.173
305	8778990.674
306	8772226.255
307	8757251.442
308	8745378.043
309	8742470.216
310	8727103.567
311	8719355.278
312	8707786.088
313	8701541.931
314	8696138.326
315	8687167.936
316	8674124.334
317	8660770.216
318	8649800.938
319	8632513.662
320	8624265.586
321	8618583.09
322	8611248.908
323	8609772.1
324	8601744.484
325	8577125.258
326	8569664.376
327	8552935.689
328	8545285.955
329	8543414.345
330	8538695.748
331	8527906.023
332	8518066.206
333	8504460.401
334	8482636.029
335	8474549.508
336	8461385.064
337	8454167.42
338	8453046.662
339	8449478.799
340	8440713.903
341	8423590.32
342	8413304.69
343	8408902.675
344	8399382.581
345	8391773.219
346	8386559.981
347	8385434.444
348	8376424.354
349	8360913.708
350	8347327.366
351	8339648.792
352	8335642.118
353	8330859.183
354	8318163.317
355	8314010.98
356	8299505.209
357	8291141.505
358	8283653.769
359	8273675.202
360	8262145.628
361	8249963.068
362	8239364.025
363	8229402.589
364	8222542.629
365	8212896.696
366	8204257.447
367	8195548.239
368	8187255.16
369	8167307.916
370	8157531.872
371	8134679.818
372	8124316.883
373	8118423.374
374	8112003.127
375	8102053.555
376	8090439.493
377	8078224.12
378	8071020.077
379	8066934.945
380	8057419.45
381	8050724.677
382	8040281.899
383	8035890.26
384	8026039.949
385	8021395.503
386	8003551.804
387	7990701.83
388	7981340.55
389	7971925.352
390	7965823.158
391	7948866.347
392	7940201.892
393	7935724.165
394	7928790.465
395	7919637.827
396	7916514.735
397	7911831.173
398	7902553.885
399	7892702.34
400	7883462.2
401	7879164.284
402	7871171.57
403	7858888.894
404	7852964.403
405	7844469.417
406	7835793.444
407	7832671.725
408	7820600.782
409	7816122.109
410	7815586.454
411	7806052.288
412	7800193.741
413	7796351.67
414	7790658.611
415	7787361.142
416	7780197.12
417	7772804.77
418	7764048.227
419	7756363.99
420	7748270.511
421	7742553.685
422	7737907.64
423	7730556.109
424	7725724.592
425	7719513.44
426	7701448.411
427	7695866.743
428	7691464.773
429	7682618.745
430	7681605.264
431	7668810.844
432	7664537.974
433	7659697.352
434	7650533.103
435	7644269.997
436	7631093.131
437	7620760.405
438	7604525.336
439	7599673.126
440	7596237.841
441	7593450.508
442	7585158.556
443	7581691.812
444	7578768.214
445	7573162.148
446	7568707.304
447	7564231.075
448	7558184.429
449	7554071.066
450	7543306.326
451	7540697.194
452	7535400.071
453	7533059.336
454	7529256.159
455	7524177.431
456	7522371.691
457	7512617.001
458	7501694.864
459	7492439.191
460	7483865.197
461	7474094.952
462	7463204.429
463	7458507.919
464	7444859.576
465	7436011.07
466	7427146.006
467	7422177.344
468	7415208.154
469	7408920.298
470	7399245.749
471	7395851.497
472	7391980.008
473	7384384.064
474	7379277.262
475	7374925.328
476	7361039.034
477	7358220.041
478	7352697.303
479	7342607.924
480	7337050.297
481	7327998.036
482	7326315.002
483	7323301.95
484	7316675.09
485	7311311.066
486	7305875.326
487	7298673.214
488	7290093.933
489	7284742.736
490	7275545.33
491	7271718.413
492	7267632.771
493	7262364.264
494	7256111.405
495	7247467.024
496	7244642.19
497	7236219.734
498	7230427.45
499	7219887.594
500	7208161.97
501	7200642.628
502	7196017.846
503	7193000.947
504	7185914.601
505	7180436.507
506	7174499.208
507	7168742.233
508	7167366.829
509	7158258.827
510	7154246.007
511	7149823.119
512	7138194.644
513	7131835.648
514	7127200.323
515	7123174.004
516	7113506.105
517	7108849.283
518	7101663.704
519	7097390.933
520	7093945.042
521	7091322.553
522	7085307.179
523	7079242.186
524	7076224.632
525	7073082.339
526	7063342.553
527	7059498.07
528	7052199.525
529	7047796.395
530	7042406.771
531	7040114.566
532	7035995.587
533	7033200.505
534	7026989.01
535	7021887.005
536	7016252.942
537	7010078.584
538	7001937.155
539	6987919.314
540	6985122.941
541	6980139.824
542	6966225.725
543	6959455.093
544	6956782.86
545	6952379.235
546	6945036.692
547	6942501.997
548	6937662.976
549	6925507.657
550	6920896.014
551	6915117.083
552	6908949.796
553	6904597.991
554	6902877.711
555	6893309.726
556	6888589.372
557	6887309.206
558	6881931.509
559	6879977.056
560	6874219.597
561	6870801.245
562	6862262.872
563	6859342.192
564	6856217.426
565	6855767.328
566	6853045.312
567	6847916.877
568	6845386.204
569	6837970.503
570	6835335.842
571	6829975.532
572	6824182.68
573	6820163.45
574	6815982.181
575	6810909.466
576	6799399.753
577	6793858.224
578	6790069.939
579	6785482.425
580	6780020.616
581	6776122.68
582	6773515.095
583	6770477.912
584	6768845.215
585	6762894.757
586	6762526.956
587	6757420.815
588	6754743.904
589	6753123.586
590	6752358.222
591	6745563.526
592	6738633.472
593	6731203.35
594	6721300.262
595	6716044.219
596	6708148.86
597	6703569.504
598	6698339.419
599	6693393.604
600	6689743.553
601	6685994.843
602	6678891.376
603	6673656.186
604	6669458.624
605	6668677.994
606	6662131.677
607	6656882.465
608	6650718.151
609	6646468.14
610	6633143.487
611	6630705.991
612	6627734.139
613	6624684.721
614	6618925.637
615	6614824.091
616	6612092.088
617	6609257.189
618	6603209.023
619	6597401.73
620	6589555.334
621	6584016.876
622	6578395.617
623	6569995.31
624	6564922.404
625	6560941.071
626	6555047.44
627	6549479.148
628	6544973.25
629	6542003.153
630	6540171.875
631	6539199.556
632	6536133.478
633	6530471.989
634	6523658.385
635	6519624.686
636	6515829.777
637	6513440.433
638	6505748.079
639	6503510.836
640	6501062.223
641	6497091.592
642	6495368.975
643	6492095.433
644	6484388.698
645	6481066.787
646	6478340.892
647	6473940.468
648	6467138.102
649	6461270.268
650	6452641.654
651	6449462.843
652	6444796.563
653	6439948.109
654	6436470.916
655	6430397.667
656	6427520.72
657	6423179.192
658	6419900.662
659	6417895.974
660	6411509.478
661	6405099.663
662	6402347.551
663	6398932.182
664	6396680.928
665	6390051.364
666	6387983.67
667	6378866.405
668	6374559.792
669	6371367.264
670	6367173.693
671	6363337.298
672	6359711.404
673	6355864.1
674	6353727.948
675	6349710.964
676	6347616.415
677	6341362.454
678	6338241.602
679	6333445.08
680	6329144.359
681	6326671.403
682	6320884.097
683	6316634.307
684	6310115.717
