iter	Passed	Remaining
0	2	4764
1	4	4161
2	6	4003
3	8	3863
4	10	3822
5	12	3844
6	15	3840
7	17	3819
8	19	3781
9	21	3785
10	23	3764
11	25	3797
12	28	3831
13	30	3818
14	32	3830
15	34	3830
16	36	3815
17	39	3884
18	41	3877
19	43	3861
20	45	3841
21	48	3866
22	50	3845
23	52	3854
24	54	3863
25	57	3893
26	59	3875
27	61	3853
28	63	3873
29	66	3874
30	68	3864
31	69	3845
32	71	3825
33	73	3807
34	75	3792
35	77	3783
36	81	3859
37	83	3861
38	85	3853
39	87	3835
40	89	3817
41	91	3802
42	94	3830
43	96	3834
44	98	3817
45	100	3804
46	102	3790
47	104	3776
48	105	3764
49	109	3801
50	111	3804
51	113	3792
52	115	3781
53	117	3770
54	119	3759
55	121	3760
56	124	3774
57	126	3773
58	128	3768
59	130	3759
60	132	3747
61	134	3736
62	136	3738
63	139	3764
64	141	3763
65	143	3755
66	145	3744
67	147	3731
68	149	3722
69	151	3722
70	154	3731
71	156	3725
72	158	3717
73	159	3707
74	161	3698
75	163	3690
76	166	3698
77	169	3712
78	171	3710
79	173	3701
80	175	3693
81	176	3685
82	178	3678
83	180	3674
84	182	3668
85	185	3675
86	187	3668
87	189	3661
88	191	3652
89	192	3645
90	196	3659
91	198	3668
92	201	3670
93	203	3664
94	204	3656
95	206	3650
96	209	3649
97	211	3643
98	212	3636
99	215	3640
100	217	3633
101	219	3626
102	221	3619
103	223	3620
104	225	3621
105	228	3625
106	230	3631
107	232	3625
108	234	3618
109	236	3611
110	238	3613
111	240	3606
112	242	3601
113	244	3597
114	246	3594
115	248	3589
116	250	3582
117	253	3589
118	255	3594
119	257	3590
120	259	3585
121	262	3584
122	264	3577
123	265	3572
124	268	3570
125	270	3567
126	272	3565
127	274	3561
128	277	3570
129	279	3568
130	282	3572
131	285	3581
132	287	3581
133	289	3579
134	292	3585
135	294	3584
136	297	3590
137	299	3587
138	301	3583
139	303	3581
140	306	3584
141	308	3583
142	311	3589
143	314	3593
144	316	3595
145	318	3591
146	322	3599
147	324	3600
148	327	3602
149	329	3599
150	330	3591
151	332	3588
152	335	3584
153	337	3585
154	341	3601
155	343	3602
156	346	3599
157	348	3596
158	350	3594
159	354	3607
160	356	3603
161	358	3600
162	360	3595
163	362	3591
164	364	3586
165	366	3586
166	369	3589
167	371	3589
168	373	3586
169	376	3583
170	378	3580
171	381	3590
172	384	3594
173	386	3590
174	388	3587
175	390	3582
176	392	3579
177	397	3596
178	399	3598
179	402	3597
180	404	3593
181	406	3590
182	408	3587
183	412	3598
184	414	3595
185	416	3592
186	418	3587
187	420	3584
188	423	3586
189	427	3602
190	430	3601
191	432	3598
192	434	3593
193	436	3592
194	439	3593
195	442	3596
196	444	3594
197	446	3590
198	448	3587
199	451	3588
200	454	3590
201	457	3598
202	459	3593
203	461	3590
204	464	3588
205	467	3592
206	469	3590
207	471	3589
208	474	3586
209	476	3583
210	479	3587
211	482	3589
212	484	3590
213	488	3594
214	490	3591
215	492	3591
216	495	3588
217	497	3583
218	499	3579
219	501	3576
220	503	3576
221	506	3579
222	509	3581
223	512	3579
224	514	3575
225	516	3573
226	518	3572
227	521	3575
228	524	3572
229	526	3567
230	527	3562
231	529	3558
232	532	3555
233	535	3563
234	538	3563
235	540	3560
236	542	3556
237	544	3551
238	546	3548
239	550	3552
240	551	3547
241	553	3542
242	555	3537
243	557	3533
244	559	3528
245	562	3531
246	564	3529
247	567	3526
248	568	3520
249	570	3515
250	572	3510
251	574	3508
252	577	3509
253	579	3505
254	581	3500
255	583	3498
256	586	3497
257	589	3501
258	593	3505
259	595	3502
260	597	3499
261	599	3495
262	601	3492
263	604	3493
264	607	3495
265	609	3493
266	612	3492
267	614	3489
268	616	3487
269	619	3485
270	621	3483
271	623	3480
272	625	3475
273	627	3471
274	629	3467
275	631	3464
276	633	3459
277	635	3454
278	637	3453
279	639	3448
280	641	3444
281	643	3439
282	645	3438
283	648	3436
284	650	3433
285	652	3432
286	654	3428
287	656	3424
288	658	3419
289	660	3415
290	662	3411
291	664	3407
292	666	3404
293	668	3401
294	670	3396
295	672	3392
296	674	3392
297	677	3390
298	679	3386
299	680	3382
300	683	3380
301	685	3375
302	687	3371
303	689	3368
304	691	3365
305	693	3360
306	694	3356
307	696	3353
308	699	3350
309	700	3346
310	703	3344
311	705	3341
312	707	3338
313	709	3334
314	711	3330
315	713	3328
316	715	3324
317	717	3321
318	719	3318
319	721	3314
320	723	3311
321	725	3307
322	727	3304
323	729	3300
324	731	3298
325	733	3296
326	736	3294
327	738	3291
328	740	3287
329	742	3284
330	744	3281
331	746	3278
332	748	3275
333	750	3271
334	752	3267
335	754	3263
336	756	3259
337	758	3256
338	760	3254
339	762	3250
340	764	3246
341	765	3242
342	767	3238
343	769	3234
344	772	3233
345	775	3238
346	777	3234
347	779	3230
348	781	3227
349	783	3223
350	785	3219
351	788	3220
352	790	3219
353	792	3215
354	794	3212
355	796	3208
356	798	3204
357	800	3200
358	802	3200
359	804	3197
360	806	3193
361	808	3190
362	810	3186
363	812	3182
364	814	3179
365	817	3182
366	820	3179
367	822	3177
368	824	3173
369	825	3169
370	827	3166
371	830	3163
372	833	3164
373	835	3161
374	837	3158
375	838	3154
376	840	3151
377	842	3147
378	845	3146
379	848	3146
380	850	3143
381	851	3139
382	853	3136
383	855	3132
384	857	3129
385	859	3126
386	861	3123
387	864	3122
388	866	3119
389	867	3115
390	869	3112
391	871	3109
392	874	3107
393	876	3106
394	878	3104
395	880	3100
396	882	3097
397	885	3095
398	887	3093
399	889	3090
400	891	3087
401	893	3085
402	895	3081
403	897	3078
404	900	3078
405	902	3077
406	905	3075
407	907	3073
408	909	3070
409	911	3067
410	913	3063
411	915	3061
412	917	3058
413	919	3054
414	921	3051
415	923	3048
416	924	3045
417	926	3041
418	929	3040
419	931	3038
420	933	3035
421	935	3032
422	937	3030
423	939	3027
424	941	3024
425	943	3021
426	945	3018
427	947	3015
428	949	3011
429	951	3008
430	953	3005
431	955	3002
432	957	3001
433	959	2998
434	961	2995
435	963	2992
436	965	2989
437	967	2987
438	970	2986
439	972	2983
440	974	2980
441	976	2977
442	978	2974
443	980	2972
444	982	2970
445	985	2969
446	987	2967
447	989	2965
448	991	2962
449	993	2958
450	995	2955
451	998	2956
452	1000	2953
453	1002	2949
454	1004	2946
455	1006	2943
456	1007	2940
457	1009	2936
458	1012	2936
459	1015	2935
460	1017	2932
461	1019	2929
462	1021	2926
463	1022	2923
464	1024	2920
465	1027	2918
466	1029	2916
467	1031	2913
468	1033	2910
469	1035	2907
470	1036	2903
471	1039	2901
472	1042	2901
473	1045	2901
474	1047	2898
475	1048	2895
476	1050	2892
477	1052	2889
478	1054	2887
479	1056	2884
480	1058	2881
481	1060	2878
482	1062	2875
483	1064	2872
484	1066	2869
485	1068	2867
486	1071	2866
487	1074	2866
488	1076	2863
489	1078	2860
490	1080	2857
491	1081	2854
492	1083	2851
493	1085	2848
494	1088	2846
495	1090	2844
496	1092	2841
497	1094	2838
498	1096	2837
499	1099	2835
500	1101	2833
501	1103	2831
502	1105	2828
503	1107	2825
504	1109	2823
505	1111	2820
506	1113	2817
507	1115	2814
508	1117	2811
509	1119	2809
510	1121	2806
511	1123	2804
512	1125	2802
513	1127	2799
514	1129	2796
515	1131	2793
516	1133	2791
517	1135	2788
518	1137	2786
519	1139	2782
520	1141	2779
521	1143	2777
522	1145	2774
523	1146	2771
524	1149	2769
525	1151	2766
526	1152	2763
527	1154	2760
528	1156	2757
529	1158	2755
530	1161	2753
531	1163	2750
532	1165	2748
533	1167	2744
534	1168	2741
535	1170	2738
536	1172	2736
537	1175	2734
538	1177	2733
539	1179	2731
540	1181	2728
541	1183	2725
542	1185	2722
543	1187	2720
544	1190	2718
545	1192	2716
546	1194	2713
547	1196	2710
548	1197	2707
549	1199	2704
550	1201	2702
551	1204	2700
552	1206	2698
553	1208	2695
554	1210	2693
555	1212	2690
556	1213	2687
557	1215	2684
558	1217	2681
559	1219	2679
560	1221	2676
561	1223	2673
562	1225	2670
563	1227	2668
564	1229	2665
565	1231	2662
566	1233	2661
567	1236	2659
568	1237	2656
569	1239	2653
570	1241	2650
571	1243	2647
572	1245	2644
573	1248	2644
574	1250	2641
575	1251	2638
576	1254	2636
577	1255	2633
578	1257	2630
579	1259	2627
580	1262	2626
581	1265	2625
582	1267	2623
583	1269	2620
584	1271	2618
585	1273	2617
586	1275	2614
587	1278	2614
588	1281	2612
589	1283	2609
590	1284	2606
591	1286	2604
592	1288	2601
593	1291	2599
594	1294	2599
595	1296	2596
596	1298	2594
597	1300	2591
598	1301	2588
599	1304	2587
600	1306	2585
601	1310	2585
602	1312	2583
603	1314	2581
604	1317	2579
605	1319	2578
606	1322	2577
607	1325	2577
608	1327	2574
609	1329	2571
610	1331	2568
611	1333	2566
612	1335	2564
613	1337	2561
614	1339	2559
615	1341	2557
616	1343	2554
617	1345	2551
618	1347	2549
619	1349	2547
620	1352	2545
621	1354	2544
622	1356	2541
623	1358	2538
624	1360	2535
625	1362	2533
626	1365	2531
627	1367	2529
628	1369	2527
629	1371	2525
630	1373	2522
631	1375	2521
632	1378	2518
633	1380	2516
634	1382	2513
635	1384	2511
636	1386	2509
637	1388	2506
638	1390	2504
639	1392	2502
640	1394	2500
641	1396	2497
642	1398	2494
643	1400	2492
644	1402	2490
645	1404	2488
646	1407	2485
647	1408	2483
648	1410	2480
649	1412	2477
650	1414	2475
651	1417	2473
652	1419	2471
653	1421	2468
654	1422	2465
655	1424	2463
656	1426	2460
657	1428	2457
658	1433	2460
659	1436	2459
660	1438	2456
661	1440	2454
662	1442	2451
663	1444	2449
664	1446	2447
665	1448	2445
666	1450	2442
667	1452	2439
668	1454	2437
669	1456	2434
670	1458	2431
671	1462	2433
672	1464	2431
673	1466	2428
674	1468	2425
675	1470	2422
676	1472	2420
677	1474	2417
678	1476	2415
679	1478	2412
680	1480	2410
681	1481	2407
682	1483	2404
683	1485	2402
684	1487	2399
685	1489	2397
686	1492	2396
687	1494	2394
688	1496	2391
689	1498	2388
690	1500	2386
691	1502	2384
692	1504	2381
693	1506	2379
694	1508	2377
695	1512	2377
696	1515	2375
697	1518	2376
698	1521	2374
699	1523	2372
700	1525	2369
701	1527	2367
702	1529	2364
703	1531	2362
704	1533	2360
705	1535	2357
706	1537	2354
707	1539	2352
708	1541	2349
709	1543	2347
710	1545	2345
711	1547	2342
712	1549	2340
713	1551	2337
714	1552	2334
715	1554	2332
716	1556	2329
717	1558	2326
718	1560	2324
719	1562	2321
720	1564	2319
721	1565	2316
722	1567	2313
723	1570	2312
724	1572	2310
725	1574	2307
726	1576	2305
727	1578	2303
728	1580	2300
729	1582	2298
730	1584	2295
731	1586	2293
732	1588	2290
733	1590	2288
734	1592	2285
735	1594	2283
736	1596	2280
737	1598	2279
738	1601	2277
739	1602	2274
740	1604	2271
741	1606	2269
